Text_ID,English,French,German,Spanish,Italian,Portuguese,Japanese,Korean,Chinese_Simplified,Chinese_Traditional,Thai
BloodDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
BloodExtreme,Extreme,Extrême,Extrem,Extremo,Estremo,Extremo,過激,극심한,极端,極端,สุดขีด
BloodHigh,High,Haut,Hoch,Alto,Alto,Alto,高い,높은,高的,高的,สูง
BloodLow,Low,Faible,Niedrig,Bajo,Basso,Baixo,低い,낮은,低的,低的,ต่ำ
BloodVeryLow,Very Low,Très faible,Sehr niedrig,Muy bajo,Molto basso,Muito baixo,非常に低い,매우 낮음,非常低,非常低,ต่ำมาก
CategoryAdvanced,Advanced,Avancé,Fortschrittlich,Avanzado,Avanzato,Avançado,高度な,고급의,先进的,先進的,ขั้นสูง
CategoryDamageTypeMultipliers,Damage Type Multipliers,Multiplicateurs de type de dégâts,Schadensarten-Multiplikatoren,Multiplicadores de tipo de daño,Moltiplicatori di tipo di danno,Multiplicadores de Tipo de Dano,ダメージタイプの乗数,피해 유형 배율,伤害类型倍率,傷害類型倍率,ตัวคูณประเภทความเสียหาย
CategoryPresetSelection,Preset Selection,Sélection prédéfinie,Voreingestellte Auswahl,Selección de ajustes preestablecidos,Selezione preimpostata,Seleção predefinida,プリセット選択,사전 설정 선택,预设选择,預設選擇,การเลือกค่าที่ตั้งไว้ล่วงหน้า
CategoryZoneArm,Arm,Bras,Arm,Brazo,Braccio,Braço,アーム,팔,手臂,手臂,แขน
CategoryZoneDismemberment,Dismemberment,Démembrement,Zerstückelung,Desmembramiento,Smembramento,Desmembramento,切断,절단,肢解,肢解,การแยกชิ้นส่วน
CategoryZoneHead,Head,Tête,Kopf,Cabeza,Testa,Cabeça,頭,머리,头,頭,ศีรษะ
CategoryZoneLeg,Leg,Jambe,Bein,Pierna,Gamba,Perna,脚,다리,腿,腿,ขา
CategoryZoneNeck,Neck,Cou,Nacken,Cuello,Collo,Pescoço,ネック,목,脖子,脖子,คอ
CategoryZoneThroat,Throat,Gorge,Kehle,Garganta,Gola,Garganta,喉,목,喉,喉,คอ
CategoryZoneToggles,Zone Toggles,Bascules de zone,Zonenumschalter,Alternancias de zona,Attiva/disattiva zona,Alternâncias de zona,ゾーントグル,구역 토글,区域切换,區域切換,สลับโซน
CategoryZoneTorso,Torso,Torse,Torso,Torso,Torso,Torso,胴体,몸통,躯干,軀幹,ลำตัว
ChanceAlways,Always,Toujours,Stets,Siempre,Sempre,Sempre,いつも,언제나,总是,總是,เสมอ
ChanceDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
ChanceFrequent,Frequent,Fréquent,Häufig,Frecuente,Frequente,Freqüente,頻繁,잦은,频繁,頻繁,บ่อย
ChanceOff,Off,Désactivé,Aus,Apagado,Spento,Desligado,オフ,끄다,离开,離開,ปิด
ChanceRare,Rare,Rare,Selten,Extraño,Raro,Cru,レア,희귀한,稀有的,稀有的,หายาก
DamageDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
DamageExtreme,Extreme,Extrême,Extrem,Extremo,Estremo,Extremo,過激,극심한,极端,極端,สุดขีด
DamageHigh,High,Haut,Hoch,Alto,Alto,Alto,高い,높은,高的,高的,สูง
DamageLow,Low,Faible,Niedrig,Bajo,Basso,Baixo,低い,낮은,低的,低的,ต่ำ
DamageMinimal,Minimal,Minimal,Minimal,Mínimo,Minimo,Mínimo,最小限,최소,极简主义,極簡主義,น้อยที่สุด
DurationDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
DurationExtended,Extended,Étendu,Erweitert,Extendido,Esteso,Estendido,拡張,펼친,扩展,擴充,ขยาย
DurationLong,Long,Long,Lang,Largo,Lungo,Longo,長さ,긴,长的,長的,ยาว
DurationShort,Short,Court,Kurz,Corto,Corto,Curto,短い,짧은,短的,短的,สั้น
DurationVeryShort,Very Short,Très court,Sehr kurz,Muy corto,Molto breve,Muito curto,非常に短い,아주 짧은,非常短,非常短,สั้นมาก
FrequencyDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
FrequencyFast,Fast,Rapide,Schnell,Rápido,Veloce,Rápido,速い,빠른,快速地,快速地,เร็ว
FrequencyRapid,Rapid,Rapide,Schnell,Rápido,Rapid,Rápido,急速な,빠른,迅速的,迅速的,รวดเร็ว
FrequencySlow,Slow,Lent,Langsam,Lento,Lento,Lento,遅い,느린,慢的,慢的,ช้า
FrequencyVerySlow,Very Slow,Très lent,Sehr langsam,Muy lento,Molto lento,Muito lento,非常に遅い,매우 느림,非常慢,非常慢,ช้ามาก
OptionArmChance,Arm Chance,Arm Chance,Arm Chance,Posibilidad de brazo,Possibilità di braccio,Chance de braço,アームチャンス,암 찬스,手臂机会,手臂機會,โอกาสแห่งแขน
OptionArmDamage,Arm Damage,Lésion du bras,Armverletzung,Daño en el brazo,Danni al braccio,Dano no braço,腕の損傷,팔 부상,手臂损伤,手臂損傷,ความเสียหายที่แขน
OptionArmDuration,Arm Duration,Durée du bras,Armdauer,Duración del brazo,Durata del braccio,Duração do braço,アーム持続時間,팔 지속 시간,臂长,臂長,ระยะเวลาของแขน
OptionArmEnabled,Arm Enabled,Arm activé,ARM-fähig,Brazo habilitado,Braccio abilitato,Braço ativado,アーム対応,ARM 지원,支持ARM架构,支援ARM架構,เปิดใช้งานแขน
OptionArmFrequency,Arm Frequency,Fréquence des bras,Armfrequenz,Frecuencia del brazo,Frequenza del braccio,Frequência do braço,アーム周波数,팔 빈도,臂频率,臂頻率,ความถี่ของแขน
OptionArmStackLimit,Arm Stack Limit,Limite d'empilement des bras,Arm Stack Limit,Límite de apilamiento de brazos,Limite di stack di armi,Limite de pilha de braço,アームスタック制限,암 스택 제한,ARM 堆叠限制,ARM 堆疊限制,ขีดจำกัดการวางซ้อนแขน
OptionBloodAmountPreset,Blood Amount,Quantité de sang,Blutmenge,Cantidad de sangre,Quantità di sangue,Quantidade de sangue,血液量,혈액량,血液量,血液量,ปริมาณเลือด
OptionChancePreset,Chance Preset,Préréglage Chance,Chance-Voreinstellung,Ajuste preestablecido de oportunidad,Preimpostazione casuale,Predefinição de chance,チャンスプリセット,확률 사전 설정,机会预设,機會預設,ค่าที่ตั้งไว้ล่วงหน้าของโอกาส
OptionDamagePreset,Damage Preset,Préréglage des dommages,Schadensvoreinstellung,Preajuste de daños,Preimpostazione danni,Predefinição de danos,ダメージプリセット,피해 사전 설정,损伤预设,損傷預設,ความเสียหายที่ตั้งไว้ล่วงหน้า
OptionDebugLogging,Debug Logging,Journalisation de débogage,Debug-Protokollierung,Registro de depuración,Registrazione di debug,Registro de depuração,デバッグログ,디버그 로깅,调试日志,偵錯日誌,การบันทึกข้อมูลการแก้ไขข้อผิดพลาด
OptionDebugOverlay,Debug Overlay,Superposition de débogage,Debug-Overlay,Superposición de depuración,Sovrapposizione di debug,Sobreposição de depuração,デバッグオーバーレイ,디버그 오버레이,调试叠加层,調試疊加層,โอเวอร์เลย์ดีบัก
OptionDismembermentChance,Dismemberment Chance,Chance de démembrement,Chance auf Zerstückelung,Posibilidad de desmembramiento,Possibilità di smembramento,Chance de Desmembramento,切断確率,사지 절단 확률,肢解几率,肢解幾率,โอกาสที่จะเกิดการฉีกขาดของร่างกาย
OptionDismembermentDamage,Dismemberment Damage,Dommages par démembrement,Abtrennungsschäden,Daño por desmembramiento,Danni da smembramento,Danos por desmembramento,切断損傷,사지 절단 손상,肢体残缺,肢體殘缺,ความเสียหายจากการตัดอวัยวะ
OptionDismembermentDuration,Dismemberment Duration,Durée du démembrement,Dauer der Zerstückelung,Duración del desmembramiento,Durata dello smembramento,Duração do desmembramento,切断期間,사지 절단 시간,肢解持续时间,肢解持續時間,ระยะเวลาการตัดอวัยวะ
OptionDismembermentEnabled,Dismemberment Enabled,Démembrement activé,Zerstückelung aktiviert,Desmembramiento habilitado,Smembramento abilitato,Desmembramento Permitido,切断が有効,사지 절단 가능,肢体残害功能已启用,肢體殘害功能已啟用,เปิดใช้งานการแยกส่วน
OptionDismembermentFrequency,Dismemberment Frequency,Fréquence de démembrement,Häufigkeit der Zerstückelung,Frecuencia de desmembramiento,Frequenza di smembramento,Frequência de desmembramento,切断頻度,신체 절단 빈도,肢解频率,肢解頻率,ความถี่ในการแยกชิ้นส่วน
OptionDismembermentStackLimit,Dismemberment Stack Limit,Limite de pile de démembrement,Zerstückelungsstapelbegrenzung,Límite de pila de desmembramiento,Limite di pila di smembramento,Limite de pilha de desmembramento,切断スタック制限,분할 스택 제한,肢解堆叠限制,肢解堆疊限制,ขีดจำกัดการเรียงซ้อนของการแยกชิ้นส่วน
OptionDurationPreset,Duration Preset,Durée prédéfinie,Voreinstellung für Dauer,Preajuste de duración,Durata preimpostata,Duração predefinida,期間プリセット,지속 시간 사전 설정,持续时间预设,持續時間預設,ระยะเวลาที่ตั้งไว้ล่วงหน้า
OptionEnableMod,Enable Mod,Activer le mod,Mod aktivieren,Habilitar Mod,Abilita Mod,Ativar Mod,Modを有効にする,모드 활성화,启用模组,啟用模組,เปิดใช้งานม็อด
OptionFireMultiplier,Fire Mult,Feu Multi,Feuer Mult,Fuego Multi,Fuoco Multiplo,Multiplicador de fogo,ファイアマルチ,화재 멀티,火力多,火力多,ไฟร์ มัลท์
OptionFrequencyPreset,Frequency Preset,Préréglage de fréquence,Frequenzvoreinstellung,Preajuste de frecuencia,Preimpostazione della frequenza,Frequência predefinida,周波数プリセット,주파수 사전 설정,频率预设,頻率預設,การตั้งค่าความถี่ล่วงหน้า
OptionHeadChance,Head Chance,Chance de tête,Head Chance,Probabilidad de cabeza,Probabilità di vittoria,Chance de Cabeça,ヘッドチャンス,헤드 찬스,头部机会,頭部機會,โอกาสหัว
OptionHeadDamage,Head Damage,Dommages à la tête,Kopfverletzungen,Daño en la cabeza,Danni alla testa,Lesão na cabeça,頭部損傷,머리 부상,头部损伤,頭部損傷,ความเสียหายที่ศีรษะ
OptionHeadDuration,Head Duration,Durée de la tête,Kopf Dauer,Duración de la cabeza,Durata della testa,Duração da cabeça,ヘッド持続時間,헤드 지속 시간,头部持续时间,頭部持續時間,ระยะเวลาหัว
OptionHeadEnabled,Head Enabled,Tête activée,Kopfaktiviert,Cabeza habilitada,Testa abilitata,Cabeça habilitada,ヘッド対応,헤드 활성화,头部已启用,頭部已啟​​用,เปิดใช้งานส่วนหัว
OptionHeadFrequency,Head Frequency,Fréquence de la tête,Kopffrequenz,Frecuencia de la cabeza,Frequenza della testa,Frequência da cabeça,ヘッド周波数,헤드 주파수,头部频率,頭部頻率,ความถี่หัว
OptionHeadStackLimit,Head Stack Limit,Limite de pile de tête,Begrenzung des Kopfstapels,Límite de pila de cabezas,Limite dello stack di testine,Limite de pilha de cabeças,ヘッドスタック制限,헤드 스택 제한,堆芯限制,核心限制,ขีดจำกัดหัวซ้อน
OptionLegChance,Leg Chance,Chance de jambe,Leg Chance,Posibilidad de pierna,Possibilità di gamba,Chance de perna,レッグチャンス,레그 찬스,腿部机会,腿部機會,โอกาสขา
OptionLegDamage,Leg Damage,Lésion aux jambes,Beinverletzungen,Daño en la pierna,Danni alle gambe,Lesão na perna,脚の損傷,다리 부상,腿部损伤,腿部損傷,ความเสียหายที่ขา
OptionLegDuration,Leg Duration,Durée de la jambe,Beindauer,Duración de la pierna,Durata della gamba,Duração da perna,脚の長さ,다리 길이,腿部持续时间,腿部持續時間,ระยะเวลาขา
OptionLegEnabled,Leg Enabled,Jambe activée,Bein aktiviert,Pierna habilitada,Gamba abilitata,Habilitado para as pernas,レッグ有効,다리 활성화,腿部已启用,腿部已啟用,ขาช่วยพยุง
OptionLegFrequency,Leg Frequency,Fréquence des jambes,Beinfrequenz,Frecuencia de piernas,Frequenza delle gambe,Frequência de pernas,脚の頻度,다리 빈도,腿部频率,腿部頻率,ความถี่ขา
OptionLegStackLimit,Leg Stack Limit,Limite d'empilement des jambes,Beinstapelbegrenzung,Límite de apilamiento de piernas,Limite di pila di gambe,Limite de empilhamento de pernas,レッグスタック制限,다리 스택 제한,腿部堆叠限制,腿部堆疊限制,ขีดจำกัดการซ้อนขา
OptionLightningMultiplier,Lightning Mult,Éclair Multi,Blitz Multi,Relámpago Multi,Fulmine Multiplo,Relâmpago Mult,ライトニングマルチ,번개 멀티,闪电倍增,閃電倍增,สายฟ้าแลบ
OptionNeckChance,Neck Chance,Chance au cou,Halschance,Posibilidad de cuello,Possibilità di collo,Chance de pescoço,ネックチャンス,넥 찬스,颈部机会,頸部機會,โอกาสที่คอ
OptionNeckDamage,Neck Damage,Lésions cervicales,Nackenschäden,Daño en el cuello,Danni al collo,Lesão no pescoço,首の損傷,목 부상,颈部损伤,頸部損傷,ความเสียหายที่คอ
OptionNeckDuration,Neck Duration,Durée du cou,Halslänge,Duración del cuello,Durata del collo,Duração do pescoço,首の長さ,목 길이,颈部持续时间,頸部持續時間,ระยะเวลาคอ
OptionNeckEnabled,Neck Enabled,Activation par le cou,Halsaktiviert,Cuello habilitado,Collo abilitato,Pescoço habilitado,ネック対応,넥 활성화,颈部启用,頸部啟用,เปิดใช้งานคอ
OptionNeckFrequency,Neck Frequency,Fréquence du cou,Nackenfrequenz,Frecuencia del cuello,Frequenza del collo,Frequência do pescoço,ネック周波数,목 주파수,颈部频率,頸部頻率,ความถี่คอ
OptionNeckStackLimit,Neck Stack Limit,Limite d'empilement du cou,Halsstapelbegrenzung,Límite de apilamiento del cuello,Limite dello stack del collo,Limite de empilhamento do pescoço,ネックスタック制限,넥 스택 리밋,颈部堆叠限制,頸部堆疊限制,ขีดจำกัดการวางซ้อนคอ
OptionPierceMultiplier,Pierce Mult,Pierce Mult,Pierce Mult,Pierce Mult,Pierce Mult,Pierce Mult,ピアース・マルト,피어스 멀트,皮尔斯·穆尔特,皮爾斯·穆爾特,เพียร์ซ มัลท์
OptionProfilePreset,Profile,Profil,Profil,Perfil,Profilo,Perfil,プロフィール,윤곽,轮廓,輪廓,ประวัติโดยย่อ
OptionSlashMultiplier,Slash Mult,Slash Mult,Slash Mult,Barra oblicua múltiple,Barra multipla,Corte Mult,スラッシュマルチ,슬래시 멀티,斜杠乘法,斜線乘法,สแลช มัลท์
OptionThroatChance,Throat Chance,Chance de la gorge,Halsprobleme,Posibilidad de garganta,Possibilità di gola,Chance de Garganta,喉のチャンス,목구멍 기회,喉咙机会,喉嚨機會,โอกาสคอ
OptionThroatDamage,Throat Damage,Lésions à la gorge,Halsschäden,Daño en la garganta,Danni alla gola,Lesões na garganta,喉の損傷,목 손상,喉咙损伤,喉嚨損傷,ความเสียหายที่ลำคอ
OptionThroatDuration,Throat Duration,Durée de la gorge,Dauer des Kehlkopfreizes,Duración de la garganta,Durata della gola,Duração da garganta,喉の長さ,목구멍 지속 시간,喉咙持续时间,喉嚨持續時間,ระยะเวลาของลำคอ
OptionThroatEnabled,Throat Enabled,Activation de la gorge,Kehlkopf aktiviert,Garganta habilitada,Abilitato alla gola,Garganta Ativada,喉が有効,목구멍 활성화됨,喉咙已启用,喉嚨已啟用,เปิดใช้งานคอ
OptionThroatFrequency,Throat Frequency,Fréquence de la gorge,Kehlkopffrequenz,Frecuencia de garganta,Frequenza della gola,Frequência na garganta,喉の周波数,목 빈도,喉咙频率,喉嚨頻率,ความถี่ลำคอ
OptionThroatStackLimit,Throat Stack Limit,Limite de pile de gorge,Begrenzung des Rachenstapels,Límite de pila de garganta,Limite di pila della gola,Limite de empilhamento da garganta,スロートスタック制限,목구멍 스택 제한,喉管限制,喉管限制,ขีดจำกัดปล่องคอ
OptionTorsoChance,Torso Chance,Chance du torse,Chance auf einen Oberkörper,Torso Chance,Torso Chance,Chance de Torso,胴体チャンス,토르소 찬스,躯干机会,軀幹機會,ทอร์โซ แชนซ์
OptionTorsoDamage,Torso Damage,Dommages au torse,Rumpfverletzung,Daño en el torso,Danni al torso,Lesões no tronco,胴体損傷,몸통 손상,躯干损伤,軀幹損傷,ความเสียหายที่ลำตัว
OptionTorsoDuration,Torso Duration,Durée du torse,Rumpfdauer,Duración del torso,Durata del torso,Duração do tronco,胴体持続時間,몸통 지속 시간,躯干持续时间,軀幹持續時間,ระยะเวลาลำตัว
OptionTorsoEnabled,Torso Enabled,Torse activé,Torso-fähig,Torso habilitado,Torso abilitato,Tronco ativado,胴体対応,몸통 활성화,躯干已启用,軀幹已啟用,เปิดใช้งานส่วนลำตัว
OptionTorsoFrequency,Torso Frequency,Fréquence du torse,Rumpffrequenz,Frecuencia del torso,Frequenza del torso,Frequência do tronco,胴体周波数,몸통 주파수,躯干频率,軀幹頻率,ความถี่ลำตัว
OptionTorsoStackLimit,Torso Stack Limit,Limite d'empilement du torse,Rumpfstapelbegrenzung,Límite de apilamiento del torso,Limite di impilamento del torso,Limite de empilhamento do torso,胴体スタック制限,몸통 스택 제한,躯干堆叠限制,軀幹堆疊限制,ขีดจำกัดการซ้อนลำตัว
ProfileBleedOnly,Bleed Only,Saignement uniquement,Nur Bluten,Solo sangrado,Solo sanguinamento,Sangramento apenas,裁ち落としのみ,출혈만,仅出血,僅出血,เลือดออกเท่านั้น
ProfileDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
ProfileElementalOnly,Elemental Only,Élémentaire uniquement,Elementar Nur,Sólo elemental,Solo Elementale,Elemental apenas,エレメンタルのみ,원소 전용,仅限元素,僅限元素,ธาตุเท่านั้น
TooltipArmChance,Chance for arm wounds to cause bleeding,Risque d'hémorragie suite à des blessures au bras,"Gefahr, dass Armverletzungen zu Blutungen führen",Posibilidad de que las heridas en el brazo provoquen sangrado,Possibilità che le ferite al braccio causino sanguinamento,Possibilidade de ferimentos no braço causarem sangramento,腕の傷が出血を引き起こす可能性,팔에 입은 상처로 출혈이 발생할 가능성,手臂伤口出血的几率,手臂傷口出血的幾率,โอกาสที่บาดแผลที่แขนจะทำให้เกิดเลือดออก
TooltipArmDamage,Base damage per tick for arm wounds,Dégâts de base par tick pour les blessures au bras,Grundschaden pro Tick für Armwunden,Daño base por tic para heridas en el brazo,Danno base per zecca per ferite al braccio,Dano base por pulso para ferimentos no braço,腕の傷に対する1ティックあたりの基本ダメージ,팔 부상에 대한 틱당 기본 피해량,手臂伤口每跳基础伤害,手臂傷口每跳基礎傷害,ความเสียหายพื้นฐานต่อครั้งสำหรับบาดแผลที่แขน
TooltipArmDuration,How long arm bleeds last,Combien de temps durent les saignements du bras ?,Wie lange Armblutungen andauern,¿Cuánto dura el sangrado en el brazo?,Quanto durano le emorragie al braccio?,Quanto tempo dura o sangramento no braço?,腕の出血はどのくらい続くか,팔에서 피가 나는 기간은 얼마나 되나요?,手臂出血持续多久,手臂出血持續多久,เลือดที่แขนจะออกนานแค่ไหน
TooltipArmEnabled,Enable bleeding from arm wounds,Autoriser le saignement des plaies au bras,Blutungen aus Armwunden ermöglichen,Permitir el sangrado de las heridas del brazo,Consentire il sanguinamento dalle ferite al braccio,Permitir o sangramento de feridas no braço,腕の傷からの出血を可能にする,팔의 상처에서 출혈이 발생하도록 설정,使手臂伤口出血,使手臂傷口出血,จำลองการไหลของเลือดจากบาดแผลที่แขน
TooltipArmFrequency,Time between bleed ticks for arm wounds,Délai entre les saignements pour les plaies au bras,Zeit zwischen den Blutungszyklen bei Armwunden,Tiempo entre garrapatas de sangrado para heridas en el brazo,Tempo tra le zecche sanguinanti per le ferite al braccio,Intervalo entre os sangramentos em feridas no braço,腕の傷の出血間隔,팔 상처의 출혈 간격,手臂伤口出血两次滴答之间的时间间隔,手臂傷口出血兩次滴答之間的時間間隔,ระยะเวลาระหว่างการตกเลือดจากเห็บสำหรับบาดแผลที่แขน
TooltipArmStackLimit,Max stacks for arm wounds,Nombre maximal de cumuls pour les blessures au bras,Maximale Stapel für Armwunden,Máximas acumulaciones para heridas en el brazo,Massime pile per ferite al braccio,Acúmulos máximos para ferimentos no braço,腕の傷の最大スタック,팔 부상에 대한 최대 스택,手臂伤口最大叠加层数,手臂傷口最大疊加數,จำนวนสแต็คสูงสุดสำหรับบาดแผลที่แขน
TooltipBloodAmountPreset,"Blood VFX intensity preset. Controls how much blood spurts from wounds. Very Low = minimal blood, Default = moderate blood, Extreme = lots of blood.","Préréglage de l'intensité des effets visuels de sang. Contrôle la quantité de sang qui gicle des blessures. Très faible = sang minimal, Par défaut = sang modéré, Extrême = sang abondant.","Voreinstellung für die Intensität von Bluteffekten. Steuert die Menge an Blut, die aus Wunden spritzt. Sehr niedrig = minimales Blut, Standard = mäßiges Blut, Extrem = viel Blut.","Preajuste de intensidad de efectos visuales de sangre. Controla la cantidad de sangre que sale de las heridas. Muy bajo = poca sangre, predeterminado = sangre moderada, extremo = mucha sangre.","Intensità predefinita degli effetti visivi del sangue. Controlla la quantità di sangue che fuoriesce dalle ferite. Molto bassa = sangue minimo, Predefinita = sangue moderato, Estrema = molto sangue.","Predefinição de intensidade de efeitos visuais de sangue. Controla a quantidade de sangue que jorra dos ferimentos. Muito Baixo = sangue mínimo, Padrão = sangue moderado, Extremo = muito sangue.",血のVFX強度プリセット。傷口から噴き出す血の量を調整します。「非常に低い」＝最小限の血、デフォルト＝中程度の血、極端＝大量の血。,"혈흔 효과 강도 사전 설정입니다. 상처에서 뿜어져 나오는 피의 양을 조절합니다. 매우 낮음 = 최소량, 기본 = 중간량, 최대 = 다량.",血液特效强度预设。控制伤口喷出的血液量。极低 = 极少血液，默认 = 中等血液，极高 = 大量血液。,血液特效強度預設。控制傷口噴出的血液量。極低 = 極少血液，預設 = 中等血液，極高 = 大量血液。,"ค่าที่ตั้งไว้ล่วงหน้าสำหรับความเข้มของเอฟเฟ็กต์เลือด ควบคุมปริมาณเลือดที่พุ่งออกมาจากบาดแผล ต่ำมาก = เลือดน้อยมาก, ค่าเริ่มต้น = เลือดปานกลาง, สูงมาก = เลือดเยอะมาก"
TooltipChancePreset,Bleed chance preset. Default is the balanced middle value.,Paramètre prédéfini pour le risque de saignement. La valeur par défaut est la valeur moyenne équilibrée.,Voreinstellung für die Blutungswahrscheinlichkeit. Standardwert ist der ausgewogene Mittelwert.,Ajuste preestablecido de probabilidad de sangrado. El valor predeterminado es el valor medio equilibrado.,Preimpostazione della probabilità di sanguinamento. Il valore predefinito è il valore medio bilanciato.,Chance de sangramento predefinida. O padrão é o valor intermediário equilibrado.,にじみ確率のプリセット。デフォルトはバランスのとれた中間値です。,출혈 확률 사전 설정. 기본값은 균형 잡힌 중간 값입니다.,出血几率预设值。默认值为平衡的中间值。,出血幾率預設值。預設值為平衡的中間值。,ค่ากำหนดล่วงหน้าของโอกาสเลือดออก ค่าเริ่มต้นคือค่ากลางที่สมดุล
TooltipDamagePreset,Damage per tick preset. Default is the balanced middle value.,Préréglage des dégâts par tick. La valeur par défaut correspond à un équilibre intermédiaire.,Schaden pro Tick (voreingestellt). Standardwert ist der ausgewogene Mittelwert.,Daño por tick preestablecido. El valor predeterminado es el valor medio equilibrado.,Danno per tick preimpostato. Il valore predefinito è il valore medio bilanciato.,Dano por pulso predefinido. O padrão é o valor intermediário equilibrado.,ティックごとのダメージのプリセット。デフォルトはバランスの取れた中間値です。,초당 피해량 사전 설정. 기본값은 균형 잡힌 중간 값입니다.,每跳伤害预设值。默认值为平衡的中间值。,每跳傷害預設值。預設值為平衡的中間值。,ค่าความเสียหายต่อรอบการคำนวณ (Damage per tick) เป็นค่าที่ตั้งไว้ล่วงหน้า ค่าเริ่มต้นคือค่ากลางที่สมดุล
TooltipDebugLogging,Enable verbose debug logging,Activer la journalisation détaillée du débogage,Ausführliche Debug-Protokollierung aktivieren,Habilitar el registro de depuración detallado,Abilita la registrazione dettagliata del debug,Ativar registro de depuração detalhado,詳細なデバッグログを有効にする,자세한 디버그 로깅을 활성화합니다.,启用详细调试日志,啟用詳細調試日誌,เปิดใช้งานการบันทึกข้อมูลการแก้ไขข้อผิดพลาดแบบละเอียด
TooltipDebugOverlay,Enable periodic debug overlay logging with performance stats,Activer la journalisation périodique des informations de débogage avec les statistiques de performance,Aktivieren Sie die regelmäßige Debug-Protokollierung mit Leistungsstatistiken.,Habilitar el registro periódico de superposición de depuración con estadísticas de rendimiento,Abilita la registrazione periodica dell'overlay di debug con statistiche sulle prestazioni,Ative o registro periódico de depuração com estatísticas de desempenho.,パフォーマンス統計を含む定期的なデバッグオーバーレイログを有効にする,성능 통계와 함께 주기적인 디버그 오버레이 로깅을 활성화합니다.,启用包含性能统计信息的定期调试叠加日志记录,啟用包含效能統計資訊的定期偵錯疊加日誌記錄,เปิดใช้งานการบันทึกข้อมูลการดีบักเป็นระยะพร้อมสถิติประสิทธิภาพ
TooltipDismembermentChance,Chance for dismemberment to cause bleeding,Risque de démembrement pouvant provoquer une hémorragie,"Es besteht die Gefahr, dass eine Abtrennung Blutungen verursacht.",Posibilidad de que el desmembramiento cause sangrado,Possibilità che lo smembramento causi emorragia,Possibilidade de desmembramento causar sangramento,切断により出血する可能性がある,사지 절단으로 인한 출혈 가능성,肢体残缺可能导致出血,肢體殘缺可能導致出血,โอกาสที่การตัดแขนขาจะทำให้เกิดเลือดออก
TooltipDismembermentDamage,Base damage per tick for dismemberment,Dégâts de base par tick pour le démembrement,Grundschaden pro Tick für Verstümmelung,Daño base por tick por desmembramiento,Danno base per tick per smembramento,Dano base por pulso para desmembramento,切断の1ティックあたりの基本ダメージ,사지 절단 시 초당 기본 피해량,肢解造成的每跳基础伤害,肢解造成的每跳基礎傷害,ความเสียหายพื้นฐานต่อรอบสำหรับการตัดแขนขา
TooltipDismembermentDuration,How long dismemberment bleeds last,Combien de temps durent les saignements après un démembrement ?,Wie lange dauern Blutungen nach einer Gliedmaßenabtrennung an?,¿Cuánto duran las hemorragias por desmembramiento?,Quanto durano le emorragie da smembramento?,Quanto tempo dura o sangramento após um desmembramento?,切断による出血はどのくらい続くか,사지 절단으로 인한 출혈은 얼마나 오래 지속되나요?,肢体残缺出血会持续多久,肢體殘缺出血會持續多久,เลือดจากการตัดแขนขาจะไหลนานแค่ไหน
